elo_h,elo_a,elo_diff,laplace_proba_h,laplace_proba_a,laplace_proba_diff,sum_previous_pm_h,sum_previous_pm_a,sum_previous_pm_diff,streak_h,streak_a,streak_diff,lsr_h,lsr_a,lsr_diff
1500.0,1505.9322999305634,-5.932299930563431,0.5,0.6666666666666666,-0.16666666666666663,0.0,1.0,-1.0,0.0,1.0,-1.0,3.0,29.0,-26.0
1500.0,1500.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,15.0,12.0
1500.0,1500.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,-5.0
1500.0,1500.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,9.0,10.0
1500.0,1500.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,-3.0
1500.0,1500.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,-19.0
1500.0,1500.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,22.0,4.0
1500.0,1494.0677000694366,5.932299930563431,0.5,0.3333333333333333,0.16666666666666669,0.0,-16.0,16.0,0.0,-1.0,1.0,12.0,30.0,-18.0
1500.0,1500.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,-4.0
1500.0,1506.0757759706096,-6.075775970609584,0.5,0.6666666666666666,-0.16666666666666663,0.0,8.0,-8.0,0.0,1.0,-1.0,16.0,3.0,13.0
1494.0677000694366,1494.0677000694366,0.0,0.3333333333333333,0.3333333333333333,0.0,-1.0,-14.0,13.0,-1.0,-1.0,0.0,18.0,2.0,16.0
1505.9322999305634,1520.0358152504098,-14.103515319846338,0.6666666666666666,0.6666666666666666,0.0,3.0,25.0,-22.0,1.0,2.0,-1.0,4.0,11.0,-7.0
1505.9322999305634,1505.9322999305634,0.0,0.6666666666666666,0.6666666666666666,0.0,14.0,15.0,-1.0,1.0,1.0,0.0,28.0,21.0,7.0
1494.0677000694366,1505.9322999305634,-11.864599861126862,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-3.0,6.0,-9.0,-1.0,1.0,-2.0,23.0,27.0,-4.0
1488.2768971175299,1479.9641847495902,8.312712367939639,0.25,0.3333333333333333,-0.08333333333333331,-38.0,-2.0,-36.0,-2.0,-2.0,0.0,5.0,26.0,-21.0
1494.0677000694366,1505.9322999305634,-11.864599861126862,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-9.0,9.0,-18.0,-1.0,1.0,-2.0,6.0,13.0,-7.0
1520.0358152504098,1494.0677000694366,25.9681151809732,0.6666666666666666,0.3333333333333333,0.3333333333333333,2.0,-6.0,8.0,2.0,-1.0,3.0,22.0,15.0,7.0
1499.8565239599538,1479.9641847495902,19.892339210363616,0.5,0.3333333333333333,0.16666666666666669,-7.0,-2.0,-5.0,0.0,-2.0,2.0,29.0,10.0,19.0
1499.525609408468,1500.2815854731066,-0.7559760646386167,0.5,0.5,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,14.0,26.0,-12.0
1526.4425057725052,1525.6271799071587,0.8153258653464945,0.75,0.75,0.0,7.0,25.0,-18.0,3.0,3.0,0.0,19.0,17.0,2.0
1499.7111124374578,1512.2088608371369,-12.49774839967904,0.5,0.75,-0.25,-17.0,6.0,-23.0,0.0,2.0,-2.0,27.0,4.0,23.0
1514.9641232087927,1486.2407456561637,28.723377552629017,0.5,0.5,0.0,8.0,-19.0,27.0,1.0,-1.0,2.0,15.0,8.0,7.0
1506.0792701741336,1480.163623044748,25.91564712938566,0.6666666666666666,0.3333333333333333,0.3333333333333333,17.0,-2.0,19.0,1.0,-2.0,3.0,16.0,7.0,9.0
1479.7626587496852,1500.0,-20.237341250314785,0.3333333333333333,0.5,-0.16666666666666669,-8.0,4.0,-12.0,-2.0,0.0,-2.0,12.0,21.0,-9.0
1487.7911391628631,1499.1393921110537,-11.34825294819052,0.25,0.5,-0.25,-11.0,-12.0,1.0,-2.0,0.0,-2.0,9.0,22.0,-13.0
1479.515679132201,1474.4983248638418,5.017354268359213,0.4,0.25,0.15000000000000002,-11.0,-14.0,3.0,-2.0,-3.0,1.0,14.0,10.0,4.0
1480.9744654576782,1485.1845285119632,-4.210063054285001,0.4,0.5,-0.09999999999999998,-49.0,9.0,-58.0,-2.0,-1.0,-1.0,8.0,16.0,-8.0
1501.0583647069184,1505.3223838457022,-4.264019138783851,0.5,0.6,-0.09999999999999998,6.0,5.0,1.0,0.0,1.0,-1.0,7.0,29.0,-22.0
1468.1486358964223,1532.355240337758,-64.20660444133568,0.2,0.8,-0.6000000000000001,-15.0,14.0,-29.0,-4.0,4.0,-8.0,9.0,19.0,-10.0
1518.7818953774945,1506.2177795001742,12.564115877320319,0.6,0.6,0.0,-8.0,12.0,-20.0,2.0,1.0,1.0,22.0,3.0,19.0
1499.2871537527255,1463.1979828256835,36.089170927042005,0.5,0.16666666666666666,0.33333333333333337,-3.0,-60.0,57.0,0.0,-5.0,5.0,29.0,5.0,24.0
1513.8197174890577,1524.7755774036443,-10.955859914586654,0.5,0.6666666666666666,-0.16666666666666663,1.0,4.0,-3.0,1.0,3.0,-2.0,21.0,19.0,2.0
1482.3445971869664,1500.5827662643458,-18.238169077379325,0.2,0.5,-0.3,-42.0,1.0,-43.0,-3.0,0.0,-3.0,2.0,3.0,-1.0
1494.7047707081656,1500.5602908421276,-5.855520133962045,0.4,0.5,-0.09999999999999998,-7.0,32.0,-39.0,-1.0,0.0,-1.0,10.0,15.0,-5.0
1499.876623035452,1505.6433261574286,-5.766703121976661,0.5,0.6,-0.09999999999999998,-5.0,4.0,-9.0,0.0,1.0,-1.0,27.0,28.0,-1.0
1500.215195964623,1524.416908613323,-24.201712648699868,0.5,0.6666666666666666,-0.16666666666666663,22.0,3.0,19.0,0.0,3.0,-3.0,23.0,22.0,1.0
1504.3905941871924,1550.461500203954,-46.07090601676168,0.5714285714285714,0.8333333333333334,-0.261904761904762,4.0,41.0,-37.0,1.0,6.0,-5.0,29.0,24.0,5.0
1505.9720413247549,1518.083295725959,-12.111254401204178,0.6,0.5714285714285714,0.02857142857142858,-11.0,17.0,-28.0,1.0,2.0,-1.0,4.0,30.0,-26.0
1544.431847731691,1568.841605805463,-24.409758073771854,0.7142857142857143,0.8571428571428571,-0.1428571428571428,11.0,44.0,-33.0,5.0,8.0,-3.0,19.0,24.0,-5.0
1474.8706376083053,1525.4805386111175,-50.609901002812194,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-23.0,8.0,-31.0,-3.0,3.0,-6.0,10.0,28.0,-18.0
1525.5566692585646,1486.2221223191225,39.334546939442134,0.75,0.5,0.25,28.0,7.0,21.0,3.0,-1.0,4.0,13.0,25.0,-12.0
1439.3342379090682,1480.0394105817631,-40.70517267269497,0.2857142857142857,0.42857142857142855,-0.14285714285714285,-24.0,-9.0,-15.0,-6.0,-2.0,-4.0,14.0,27.0,-13.0
1474.843495734606,1500.4806374515163,-25.637141716910264,0.3333333333333333,0.5,-0.16666666666666669,-7.0,8.0,-15.0,-3.0,0.0,-3.0,18.0,7.0,11.0
1481.0583790686119,1494.163447161011,-13.105068092399051,0.42857142857142855,0.42857142857142855,0.0,-75.0,-6.0,-69.0,-2.0,-1.0,-1.0,8.0,21.0,-13.0
1526.2099638552058,1520.394423941988,5.81553991321789,0.6666666666666666,0.5714285714285714,0.09523809523809523,29.0,48.0,-19.0,3.0,2.0,1.0,26.0,15.0,11.0
1513.7959972360736,1481.0300548004745,32.76594243559907,0.5,0.42857142857142855,0.07142857142857145,10.0,16.0,-6.0,1.0,-2.0,3.0,17.0,23.0,-6.0
1519.9816341092005,1474.4433307414354,45.53830336776514,0.5714285714285714,0.25,0.3214285714285714,5.0,-28.0,33.0,2.0,-3.0,5.0,3.0,6.0,-3.0
1481.189369822066,1469.9257436324397,11.263626189626393,0.42857142857142855,0.2857142857142857,0.14285714285714285,-11.0,-32.0,21.0,-2.0,-4.0,2.0,25.0,9.0,16.0
1550.966697403907,1461.4776577891691,89.48903961473775,0.75,0.375,0.375,25.0,-71.0,96.0,5.0,-2.0,7.0,19.0,8.0,11.0
1505.0550804498819,1493.9146646690438,11.140415780838111,0.5714285714285714,0.42857142857142855,0.14285714285714285,-8.0,0.0,-8.0,1.0,-1.0,2.0,20.0,7.0,13.0
1486.0104885856836,1511.8560210500164,-25.84553246433279,0.5,0.5,0.0,0.0,27.0,-27.0,-2.0,2.0,-4.0,29.0,30.0,-1.0
1514.6008553886084,1482.0855223762235,32.51533301238487,0.5,0.42857142857142855,0.07142857142857145,48.0,-20.0,68.0,2.0,-2.0,4.0,15.0,10.0,5.0
1458.0945423912167,1498.619993653137,-40.52545126192035,0.14285714285714285,0.5,-0.35714285714285715,-67.0,14.0,-81.0,-6.0,-1.0,-5.0,5.0,27.0,-22.0
1492.683735675167,1518.2656538431993,-25.58191816803219,0.42857142857142855,0.5714285714285714,-0.14285714285714285,3.0,5.0,-2.0,-1.0,2.0,-3.0,17.0,28.0,-11.0
1530.589421755621,1464.2603816393948,66.32904011622622,0.8,0.25,0.55,46.0,-34.0,80.0,4.0,-4.0,8.0,13.0,9.0,4.0
1488.2464222664564,1562.306756133247,-74.06033386679064,0.375,0.75,-0.375,-5.0,9.0,-14.0,0.0,6.0,-6.0,7.0,24.0,-17.0
1493.5076018038496,1481.4094685170785,12.098133286771144,0.5714285714285714,0.42857142857142855,0.14285714285714285,24.0,1.0,23.0,0.0,-2.0,2.0,12.0,18.0,-6.0
1465.886638763739,1476.9034883470422,-11.016849583303156,0.25,0.375,-0.125,-20.0,-21.0,1.0,-4.0,-1.0,-3.0,2.0,10.0,-8.0
1511.7010830077681,1537.244440975977,-25.543357968208966,0.5,0.75,-0.25,-18.0,51.0,-69.0,0.0,7.0,-7.0,28.0,26.0,2.0
1486.8547318151109,1511.7234021463992,-24.868670331288286,0.5,0.625,-0.125,3.0,-21.0,24.0,0.0,1.0,-1.0,25.0,4.0,21.0
1517.2072594673637,1508.4714073963319,8.735852071031786,0.5555555555555556,0.6666666666666666,-0.11111111111111105,46.0,36.0,10.0,2.0,2.0,0.0,27.0,13.0,14.0
1499.084716874934,1494.9174904394572,4.167226435476778,0.5,0.4444444444444444,0.05555555555555558,7.0,0.0,7.0,-2.0,-1.0,-1.0,11.0,21.0,-10.0
1566.6193154076745,1499.2483065105982,67.37100889707631,0.7777777777777778,0.5,0.2777777777777778,33.0,-11.0,44.0,8.0,-1.0,9.0,22.0,17.0,5.0
1529.3858263406044,1439.50727657699,89.87854976361427,0.7142857142857143,0.125,0.5892857142857143,62.0,-61.0,123.0,4.0,-7.0,11.0,16.0,5.0,11.0
1530.9817958150047,1528.2139226539414,2.767873161063335,0.5555555555555556,0.6666666666666666,-0.11111111111111105,22.0,20.0,2.0,2.0,1.0,1.0,30.0,19.0,11.0
1495.9501785955456,1486.378395998684,9.571782596861567,0.4,0.3333333333333333,0.06666666666666671,-26.0,-18.0,-8.0,-1.0,-1.0,0.0,6.0,9.0,-3.0
1519.7828894177896,1528.8029906693603,-9.020101251570622,0.5555555555555556,0.7142857142857143,-0.15873015873015872,37.0,38.0,-1.0,1.0,4.0,-3.0,15.0,13.0,2.0
1522.3478907205038,1503.6872208391267,18.66066988137709,0.6,0.5555555555555556,0.0444444444444444,-15.0,8.0,-23.0,-1.0,1.0,-2.0,19.0,20.0,-1.0
1521.3959245184876,1464.4879359145384,56.90798860394921,0.5555555555555556,0.4,0.15555555555555556,-11.0,-52.0,41.0,-1.0,-2.0,1.0,17.0,8.0,9.0
1473.0638497707153,1530.6808489683558,-57.61699919764055,0.5,0.6666666666666666,-0.16666666666666663,29.0,33.0,-4.0,0.0,4.0,-4.0,12.0,26.0,-14.0
1554.45832131826,1505.176924588989,49.28139672927091,0.6666666666666666,0.5555555555555556,0.11111111111111105,-5.0,-27.0,22.0,3.0,-1.0,4.0,24.0,4.0,20.0
1435.489832365317,1472.0869295615287,-36.597097196211735,0.1111111111111111,0.3333333333333333,-0.2222222222222222,-58.0,3.0,-61.0,-7.0,-2.0,-5.0,5.0,2.0,3.0
1493.401209372521,1518.2646750153895,-24.863465642868505,0.5555555555555556,0.5555555555555556,0.0,-13.0,-23.0,10.0,0.0,0.0,0.0,25.0,28.0,-3.0
1486.3338280468263,1496.8756761943353,-10.541848147508972,0.45454545454545453,0.5,-0.04545454545454547,-13.0,27.0,-40.0,2.0,-1.0,3.0,8.0,27.0,-19.0
1442.3370110679052,1478.9070388434957,-36.57002777559046,0.2,0.4444444444444444,-0.2444444444444444,-41.0,3.0,-44.0,-4.0,-3.0,-1.0,5.0,11.0,-6.0
1516.5464592642802,1498.193153461272,18.353305803008197,0.5454545454545454,0.5,0.045454545454545414,35.0,-4.0,39.0,2.0,-1.0,3.0,27.0,20.0,7.0
1476.101104742153,1470.7031975492525,5.397907192900448,0.4,0.3333333333333333,0.06666666666666671,-38.0,-23.0,-15.0,-5.0,-1.0,-4.0,23.0,10.0,13.0
1511.7183293935443,1500.3567456540566,11.361583739487742,0.5,0.5,0.0,-4.0,-25.0,21.0,0.0,-1.0,1.0,28.0,4.0,24.0
1499.5500323861997,1465.2397508589404,34.31028152725935,0.5,0.3,0.2,-11.0,17.0,-28.0,-2.0,-2.0,0.0,17.0,2.0,15.0
1512.4634129480974,1399.8967934174482,112.56661953064918,0.5,0.2,0.3,-14.0,-62.0,48.0,0.0,-9.0,9.0,3.0,14.0,-11.0
1480.4657963196764,1501.6551697176326,-21.18937339795616,0.5555555555555556,0.5,0.05555555555555558,17.0,-14.0,31.0,0.0,0.0,0.0,12.0,6.0,6.0
